ad_unit_id,publisher_id,ad_unit_name,ad_format,ad_size,placement_type,is_active,created_at
au_0028,10,FinanceDaily - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0029,10,FinanceDaily - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0030,10,FinanceDaily - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0031,11,RetroGames Hub - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0032,11,RetroGames Hub - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0033,11,RetroGames Hub - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0034,12,Pop Culture Central - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0035,12,Pop Culture Central - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0036,12,Pop Culture Central - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0037,13,MumsLife - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0038,13,MumsLife - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0039,13,MumsLife - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0040,14,LowQualGames - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0041,14,LowQualGames - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0042,14,LowQualGames - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0043,15,DiscoverIndia - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0044,15,DiscoverIndia - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0045,15,DiscoverIndia - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0046,16,Tokyo Gadget Review - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0047,16,Tokyo Gadget Review - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0048,16,Tokyo Gadget Review - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0049,17,Aussie Outdoors - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0050,17,Aussie Outdoors - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0051,17,Aussie Outdoors - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0052,18,Crypto Watch - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0053,18,Crypto Watch - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0054,18,Crypto Watch - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0055,19,Recipe Box - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0056,19,Recipe Box - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0057,19,Recipe Box - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
au_0058,20,Manila Trends - Top Banner,Banner,728x90,above_fold,1,2024-06-01 00:00:00
au_0059,20,Manila Trends - Mid-Content Rect,Display,300x250,in_content,1,2024-06-01 00:00:00
au_0060,20,Manila Trends - Sticky Footer,Display,320x50,sticky,1,2024-06-01 00:00:00
